mission_name,timestamp,SensorGps_alt,SensorGps_alt_ellipsoid,SensorGps_c_variance_rad,SensorGps_cog_rad,SensorGps_eph,SensorGps_epv,SensorGps_hdop,SensorGps_heading,SensorGps_heading_accuracy,SensorGps_heading_offset,SensorGps_lat,SensorGps_lon,SensorGps_noise_per_ms,SensorGps_rtcm_injection_rate,SensorGps_s_variance_m_s,SensorGps_time_utc_usec,SensorGps_timestamp_time_relative,SensorGps_vdop,SensorGps_vel_d_m_s,SensorGps_vel_e_m_s,SensorGps_vel_m_s,SensorGps_vel_n_m_s,VehicleGlobalPosition_alt,VehicleGlobalPosition_alt_ellipsoid,VehicleGlobalPosition_delta_alt,VehicleGlobalPosition_eph,VehicleGlobalPosition_epv,VehicleGlobalPosition_lat,VehicleGlobalPosition_lon,VehicleGlobalPosition_terrain_alt,SensorGps_automatic_gain_control,SensorGps_fix_type,SensorGps_jamming_indicator,SensorGps_jamming_state,SensorGps_satellites_used,SensorGps_selected_rtcm_instance,SensorGps_spoofing_state,SensorGps_vel_ned_valid,VehicleGlobalPosition_alt_reset_counter,VehicleGlobalPosition_dead_reckoning,VehicleGlobalPosition_lat_lon_reset_counter,VehicleGlobalPosition_terrain_alt_valid
fast_movements_0,1970-01-01 01:20:33.800,181691.1,226002.2,3.1415925,2.4233253,0.127,0.1799,0.52,,0.0,0.0,501121786.9,144179554.1,96.0,0.0,0.0590000046,1714139360899608.0,0.0,0.71999997,0.0042000001,0.0080000009,0.00950000094,-0.00309999996,180.08463,225.93378,-0.0,0.20921114,0.26852956,50.112178666385184,14.417955344145074,179.78352,0.0,4.0,83.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0
fast_movements_0,1970-01-01 01:20:33.900,181692.2,226003.4,3.1415925,2.4233253,0.127,0.1798,0.52,,0.0,0.0,501121786.8,144179554.2,96.0,0.0,0.0610000052,1714139360999608.0,0.0,0.71999997,0.0054000001999999995,0.0070000008,0.00900000088,-0.00219999992,180.08470499999999,225.93456500000002,0.0,0.209104985,0.268461865,50.112178666315494,14.417955349919321,179.78352,0.0,4.0,83.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0
fast_movements_0,1970-01-01 01:20:34.000,181693.3,226004.6,3.1415925,2.4233253,0.127,0.1797,0.52,,0.0,0.0,501121786.7,144179554.3,96.0,0.0,0.0630000058,1714139361099608.0,0.0,0.71999997,0.0066000003,0.006000000700000001,0.008500000819999999,-0.0012999998800000004,180.08478,225.93535,-0.0,0.20899883,0.26839417,50.1121786662458,14.417955355693566,179.78352,0.0,4.0,83.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0
fast_movements_0,1970-01-01 01:20:34.100,181694.4,226005.8,3.1415925,2.4233253,0.127,0.17959999999999998,0.52,,0.0,0.0,501121786.6,144179554.4,96.0,0.0,0.0650000064,1714139361199608.0,0.0,0.71999997,0.0078000004,0.0050000006,0.00800000076,-0.0003999998400000004,180.084945,225.93621000000002,0.0,0.20892534499999998,0.26834369999999996,50.112178666503105,14.417955360956256,179.78352,0.0,4.0,83.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0
fast_movements_0,1970-01-01 01:20:34.200,181695.5,226007.0,3.1415925,2.4233253,0.127,0.1795,0.52,,0.0,0.0,501121786.5,144179554.5,96.0,0.0,0.067000007,1714139361299608.0,0.0,0.71999997,0.0090000005,0.0040000005,0.0075000006999999995,0.0005000001999999996,180.08511,225.93707,-0.0,0.20885186,0.26829323,50.11217866676041,14.417955366218944,179.78352,0.0,4.0,83.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0
fast_movements_0,1970-01-01 01:20:34.300,181696.6,226008.2,3.1415925,2.4233253,0.127,0.1794,0.52,,0.0,0.0,501121786.4,144179554.6,96.0,0.0,0.0690000076,1714139361399608.0,0.0,0.71999997,0.010200000599999998,0.0030000004,0.00700000064,0.0014000002399999992,180.085395,225.938015,0.0,0.208807885,0.26825831499999997,50.11217866432358,14.417955368753326,179.78352,0.0,4.0,83.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0
fast_movements_0,1970-01-01 01:20:34.400,181697.7,226009.4,3.1415925,2.4233253,0.127,0.1793,0.52,,0.0,0.0,501121786.3,144179554.7,96.0,0.0,0.07100000819999999,1714139361499608.0,0.0,0.71999997,0.0114000007,0.0020000003000000006,0.00650000058,0.0023000002799999997,180.08568,225.93896,-0.0,0.20876391,0.2682234,50.11217866188675,14.417955371287706,179.78352,0.0,4.0,83.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0
fast_movements_0,1970-01-01 01:20:34.500,181698.8,226010.6,3.1415925,2.4233253,0.127,0.1792,0.52,,0.0,0.0,501121786.2,144179554.8,96.0,0.0,0.07300000879999999,1714139361599608.0,0.0,0.71999997,0.0126000008,0.0010000002,0.00600000052,0.0032000003199999993,180.085925,225.93997000000002,0.0,0.20871209000000002,0.268186985,50.11217865800798,14.4179553761057,179.78352,0.0,4.0,83.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0
fast_movements_0,1970-01-01 01:20:34.600,181699.9,226011.8,3.1415925,2.4233253,0.127,0.17909999999999998,0.52,,0.0,0.0,501121786.1,144179554.9,96.0,0.0,0.0750000094,1714139361699608.0,0.0,0.71999997,0.013800000899999998,9.999999960041972e-11,0.00550000046,0.00410000036,180.08617,225.94098,-0.0,0.20866027,0.26815057,50.11217865412921,14.417955380923695,179.78352,0.0,4.0,83.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0
fast_movements_0,1970-01-01 01:20:34.700,181701.0,226013.0,3.1415925,2.4233253,0.127,0.179,0.52,,0.0,0.0,501121786.0,144179555.0,96.0,0.0,0.07700001,1714139361799608.0,0.0,0.71999997,0.015000001,-0.001,0.0050000004,0.0050000004,180.086655,225.942155,0.0,0.208666925,0.268143435,50.11217864799157,14.417955388704042,179.78352,0.0,4.0,83.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0
fast_movements_0,1970-01-01 01:20:34.800,181702.6,226014.5,2.9496896099999996,2.4233253,0.127,0.17909999999999998,0.52,,0.0,0.0,501121785.9,144179555.0,95.9,0.0,0.07580000949999999,1714139361899608.0,0.0,0.71999997,0.0143000009,-0.0016,0.00780000036,0.0013000003599999998,180.08714,225.94333,-0.0,0.20867358,0.2681363,50.11217864185394,14.41795539648439,179.78352,0.0,4.0,63.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0
fast_movements_0,1970-01-01 01:20:34.900,181704.2,226016.0,2.75778672,2.4233253,0.127,0.1792,0.52,,0.0,0.0,501121785.8,144179555.0,95.8,0.0,0.074600009,1714139361999607.8,0.0,0.71999997,0.013600000800000001,-0.0022,0.01060000032,-0.0023999996800000006,180.08787999999998,225.944505,0.0,0.21134839,0.2697092,50.1121786365493,14.417955402051332,179.78352,0.0,4.0,63.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0
fast_movements_0,1970-01-01 01:20:35.000,181705.8,226017.5,2.5658838299999998,2.4233253,0.127,0.1793,0.52,,0.0,0.0,501121785.7,144179555.0,95.7,0.0,0.0734000085,1714139362099607.8,0.0,0.71999997,0.0129000007,-0.0028000000000000004,0.013400000280000001,-0.0060999997200000015,180.08862,225.94568,-0.0,0.2140232,0.2712821,50.112178631244674,14.417955407618274,179.78352,0.0,4.0,63.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0
fast_movements_0,1970-01-01 01:20:35.100,181707.4,226019.0,2.37398094,2.4233253,0.127,0.1794,0.52,,0.0,0.0,501121785.6,144179555.0,95.6,0.0,0.072200008,1714139362199607.5,0.0,0.71999997,0.0122000006,-0.0034000000000000002,0.01620000024,-0.00979999976,180.089675,225.947745,0.0,0.21364293,0.27110105,50.11217862744631,14.417955411005249,179.78352,0.0,4.0,63.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0
fast_movements_0,1970-01-01 01:20:35.200,181709.0,226020.5,2.18207805,2.4233253,0.127,0.1795,0.52,,0.0,0.0,501121785.5,144179555.0,95.5,0.0,0.07100000749999999,1714139362299607.5,0.0,0.71999997,0.0115000005,-0.004,0.019000000200000002,-0.013499999800000002,180.09073,225.94981,-0.0,0.21326266,0.27092,50.11217862364795,14.417955414392225,179.78352,0.0,4.0,63.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0
fast_movements_0,1970-01-01 01:20:35.300,181710.6,226022.0,1.9901751599999997,2.4233253,0.127,0.17959999999999998,0.52,,0.0,0.0,501121785.4,144179555.0,95.4,0.0,0.069800007,1714139362399607.5,0.0,0.71999997,0.0108000004,-0.0046,0.02180000016,-0.017199999840000004,180.092115,225.95192500000002,0.0,0.212931645,0.27075622499999996,50.11217861912701,14.417955420032722,179.78352,0.0,4.0,63.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0
fast_movements_0,1970-01-01 01:20:35.400,181712.2,226023.5,1.7982722699999998,2.4233253,0.127,0.1797,0.52,,0.0,0.0,501121785.3,144179555.0,95.3,0.0,0.0686000065,1714139362499607.2,0.0,0.71999997,0.0101000003,-0.005200000000000001,0.02460000012,-0.020899999880000002,180.0935,225.95404,-0.0,0.21260063,0.27059245,50.11217861460607,14.41795542567322,179.78352,0.0,4.0,63.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0
fast_movements_0,1970-01-01 01:20:35.500,181713.8,226025.0,1.6063693799999998,2.4233253,0.127,0.1798,0.52,,0.0,0.0,501121785.2,144179555.0,95.2,0.0,0.067400006,1714139362599607.2,0.0,0.71999997,0.009400000200000001,-0.0058000000000000005,0.02740000008,-0.024599999920000004,180.095135,225.95638,0.0,0.212331355,0.27045312499999996,50.11217860628356,14.417955428535258,179.78352,0.0,4.0,63.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0
fast_movements_0,1970-01-01 01:20:35.600,181715.4,226026.5,1.41446649,2.4233253,0.127,0.1799,0.52,,0.0,0.0,501121785.1,144179555.0,95.1,0.0,0.06620000549999999,1714139362699607.0,0.0,0.71999997,0.0087000001,-0.0064,0.03020000004,-0.028299999960000006,180.09677,225.95872,-0.0,0.21206208,0.2703138,50.11217859796104,14.417955431397294,179.78352,0.0,4.0,63.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0
fast_movements_0,1970-01-01 01:20:35.700,181717.0,226028.0,1.2225636,2.4233253,0.127,0.18,0.52,,0.0,0.0,501121785.0,144179555.0,95.0,0.0,0.065000005,1714139362799607.0,0.0,0.71999997,0.008,-0.007,0.033,-0.032,180.098715,225.961355,0.0,0.211827205,0.270188675,50.1121785923648,14.417955433945043,179.78352,0.0,4.0,63.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0
